lat,lon,reported_date,reported_by,address,city,zip,addressline,country
40.42124,-3.70038,03/23/10 20:45:31,web,Calle de Hortaleza| 14-34| 28004 Madrid| Spain,madrid,28004,Calle de Hortaleza| 14-34,España
40.38474,-3.78359,03/23/10 23:38:21,web,Paseo de Extremadura| 404| 28024 Madrid| Spain,madrid,28024,Paseo de Extremadura| 404,España
40.38948,-3.713,03/23/10 23:38:23,web,A-42| 28019 Madrid| Spain,madrid,28019,A-42,España
40.45133,-3.69088,03/23/10 23:38:25,web,Paseo de la Castellana| 28046 Madrid| Spain,madrid,28046,Paseo de la Castellana,España
41.65295,-4.72839,03/24/10 00:12:30,web,Calle de la Cebadería| 1-5| 47001 Valladolid| Spain,valladolid,47001,Calle de la Cebadería| 1-5,España
-31.63181,-60.70631,03/24/10 01:34:02,web,1 de Mayo 3701-3799| Santa Fe| Argentina,santa fe,,1 de Mayo,España
-31.63131,-60.70609,03/24/10 01:37:09,web,Pje Irala 2802-2900| Santa Fe| Argentina,santa fe,,Pje Irala,España
40.43389,-3.53294,03/24/10 11:28:22,web,Av de San Pablo| 39-41| 28823 Coslada| Spain,coslada,28823,Av de San Pablo| 39-41,España
40.45185,-3.7854,03/24/10 12:25:59,web,Calle del Arroyo de Pozuelo| 103-115| 28023 Madrid| Spain,madrid,28023,Calle del Arroyo de Pozuelo| 103-115,España
40.43389,-3.53294,03/24/10 14:09:39,web,Av de San Pablo| 39-41| 28823 Coslada| Spain,coslada,28823,Av de San Pablo| 39-41,España
40.44912,-3.77734,03/24/10 15:40:47,web,Carretera de Húmera| 28023 Madrid| Spain,madrid,28023,Carretera de Húmera,España
40.37993,-3.78477,03/24/10 20:39:20,web,Av de la Aviación| 28044 Madrid| Spain,madrid,28044,Av de la Aviación,España
40.39092,-3.74313,03/25/10 11:12:39,web,Calle Vía Carpetana| 340| 28047 Madrid| Spain,madrid,28047,Calle Vía Carpetana| 340,España
40.3906,-3.7434,03/25/10 11:13:17,web,Calle Vía Carpetana| 342-344| 28047 Madrid| Spain,madrid,28047,Calle Vía Carpetana| 342-344,España
40.43287,-3.60021,03/25/10 19:43:37,web,Av de Arcentales| 28022 Madrid| Spain,madrid,28022,Av de Arcentales,España
40.41399,-3.6932,03/26/10 14:18:54,web,Paseo del Prado| 11| 28014 Madrid| Spain,madrid,28014,Paseo del Prado| 11,España
-31.63131,-60.70609,03/24/10 01:39:32,web,Pje Irala 2802-2900| Santa Fe| Argentina,santa fe,,Pje Irala,España
40.32774,-3.88644,03/24/10 10:15:26,web,Calle de Joaquín Blume| 28935 Móstoles| Spain,móstoles,28935,Calle de Joaquín Blume,España
40.40369,-3.75492,03/24/10 13:11:54,web,A-5| 277-279| 28011 Madrid| Spain,madrid,28011,A-5| 277-279,España
40.4228,-3.69924,03/24/10 18:25:41,web,Calle de Hortaleza| 62-70| 28004 Madrid| Spain,madrid,28004,Calle de Hortaleza| 62-70,España
40.42206,-3.71309,03/25/10 12:39:58,web,Cuesta de San Vicente| 2| 28008 Madrid| Spain,madrid,28008,Cuesta de San Vicente| 2,España
40.63448,-3.19104,03/25/10 13:06:48,web,Calle de Francisco Aritio| 19004 Guadalajara| Spain,guadalajara,19004,Calle de Francisco Aritio,España
36.71923,-4.4171,03/25/10 13:07:12,web,Paseo del Parque| 1| 29016 Malaga| Spain,málaga,29016,Paseo del Parque| 1,España
40.43055,-3.59725,03/25/10 19:42:29,web,Av de Arcentales| 28022 Madrid| Spain,madrid,28022,Av de Arcentales,España
40.39908,-3.73018,03/26/10 12:47:49,web,Paseo de la Ermita del Santo| 76| 28019 Madrid| Spain,madrid,28019,Paseo de la Ermita del Santo| 76,España
40.46304,-3.69893,03/26/10 13:48:16,web,Calle de Gonzalo Herrero| 9-19| 28039 Madrid| Spain,madrid,28039,Calle de Gonzalo Herrero| 9-19,España
40.42326,-3.69813,03/26/10 17:11:47,web,Calle de Pelayo| 36-64| 28004 Madrid| Spain,madrid,28004,Calle de Pelayo| 36-64,España
40.40698,-3.8994,03/26/10 17:12:57,web,Calle de Miguel de Unamuno| 9| 28660 Boadilla del Monte| Spain,boadilla del monte,28660,Calle de Miguel de Unamuno| 9,España
40.29976,-3.90821,03/26/10 17:13:42,web,Calle de los Carpinteros| 28939 Arroyomolinos| Spain,arroyomolinos,28939,Calle de los Carpinteros,España
